α	alpha
περιάγω	(tr.) to take (a wife)
περιαιρέω	to take away
περιάπτω	to kindle (a fire)
περιαστράπτω	to flash around
περιβάλλω	to dress
περιβλέπω	to look around at
περιβόλαιον	covering
περιδέω	to wrap around
περιεργάζομαι	to be a busybody
περίεργος	meddlesome
περιέρχομαι	to go around
περιέχω	to seize
περιζώννυμι	to buckle a belt around
περιζωννύω	to buckle a belt around
περίθεσις	wearing
περιΐστημι	to stand around
περικάθαρμα	scum
περικαθίζω	to sit around
περικαλύπτω	to blindfold
περίκειμαι	to surround
περικεφαλαία	helmet
περικρατής	secure
περικρύβω	to seclude oneself
περικυκλόω	to encircle
περιλάμπω	to shine around
περιλείπομαι	to be left
περίλυπος	overwhelmingly sorrowful
περιμένω	to wait for
πέριξ	around
περιοικέω	to live in a neighborhood
περίοικος	neighboring
περιούσιος	one's very own
περιοχή	passage (of Scripture)
περιπατέω	to walk (around)
περιπείρω	to pierce
περιπίπτω	to fall into the hands of
περιποιέω	(mid.) to keep
περιποίησις	possession
περιρήγνυμι	to strip off
περισπάω	(pass.) to be distracted
περισσεία	abundance
περίσσευμα	overflow
περισσεύω	to have abundance
περισσοτέρως	more than
περισσῶς	exceeding
περιστερά	dove
περιτέμνω	to circumcise
περιτίθημι	to put on
περιτομή	circumcision
περιτρέπω	to drive (to insanity)
περιτρέχω	to run throughout
περιφέρω	to carry
περιφρονέω	to despise
περίχωρος	neighboring
περίψημα	refuse
περπερεύομαι	to boast
Περσίς	Persis
πέρυσι	from last year
πετεινόν	bird
πέτομαι	to fly
πέτρα	rock
Πέτρος	Peter
πετρώδης	rocky
πήγανον	rue (a garden herb)
πηγή	spring
πήγνυμι	to set up
πηδάλιον	rudder
πηλίκος	how great
πηλός	mud
πήρα	traveler's bag
πηρόω	to disable
πήρωσις	nearsightedness
πῆχυς	measure of length: cubit
πιάζω	to seize
πιέζω	(pass.) to be pressed down
πιθανολογία	fine-sounding arguments
πιθός	persuasive
πικραίνω	to turn sour
πικρία	bitterness
πικρῶς	bitter
Πιλᾶτος	Pilate
πίμπλημι	to fill
πίμπρημι	to swell
πινακίδιον	(small) writing tablet
πινακίς	(small) writing tablet
πίναξ	platter
πίνω	to drink
πιότης	richness
πιπράσκω	to sell
πίπτω	to fall
Πισιδία	Pisidia
Πισίδιος	Pisidian
πιστεύω	to believe
πιστικός	pure
πίστις	faith
πιστός	faithful
πιστόω	(pass.) to be convinced of
πλανάω	to lead astray
πλάνη	error
πλανήτης	wanderer
πλάνος	deceiving
πλάξ	stone tablet
πλάσμα	what is formed
πλάσσω	to form
πλαστός	made up
πλατεῖα	(main) street
πλάτος	width
πλατύνω	to open wide
πλατύς	wide
πλέγμα	something braided or woven
πλέκω	to twist together
πλεονάζω	to make increase
πλεονεκτέω	to exploit
πλεονέκτης	greedy person
πλεονεξία	greediness
πλευρά	side (of the body)
πλέω	to travel by ship
πληγή	plague
πλῆθος	large number
πληθύνω	to increase
πλήκτης	violent man
πλήμμυρα	flood
πλήν	but
πλήρης	full
πληροφορέω	to fulfill (completely)
πληροφορία	full assurance
πληρόω	to fulfill
πλήρωμα	fullness
πλησίον	near
πλησμονή	indulgence
πλήσσω	(pass.) to be struck
πλοιάριον	(small) boat
πλοῖον	boat
πλοκή	braiding
πλόος	voyage
πλοῦς	voyage
πλουσίως	rich
πλουτέω	to be rich
πλουτίζω	to make rich
πλοῦτος	riches
πλύνω	to wash (things)
πνεῦμα	wind
πνευματικῶς	spiritual
πνέω	to blow (of wind)
πνίγω	to choke or strangle
πνικτός	strangled
πνοή	wind
ποδήρης	reaching to the feet
ποδινιπτήρ	basin for washing feet
πόθεν	from where
ποία	grass
ποιέω	to do
ποίημα	what is made
ποίησις	doing
ποιητής	doer
ποικίλος	of various kinds
ποιμαίνω	to shepherd
ποιμήν	shepherd
ποίμνη	flock
ποίμνιον	flock
ποῖος	what?
πολεμέω	to fight
πόλεμος	war
πόλις	city
πολιτάρχης	city official
πολιτεία	citizenship
πολίτευμα	citizenship
πολιτεύομαι	to fulfill one's duty
πολίτης	citizen
πολλάκις	many times
πολλαπλασίων	many times as much
πολυεύστλαγχνος	rich in compassion
πολύλαλος	talkative
πολυλογία	speaking many words
πολυμερῶς	at many times
πολυπλήθεια	large crowd
πολυποίκιλος	manifold
πολύς	many
πολύσπλαγχνος	full of compassion
πολυτελής	expensive
πολύτιμος	expensive
πολυτρόπως	in various ways
πόμα	drink
πονηρία	evil
πονηρός	bad
πόνος	pain
Ποντικός	from Pontus
Πόντιος	Pontius
πόντος	open sea
Πόπλιος	Publius
πορεία	journey
πορεύω	to come
πορθέω	to destroy
πορισμός	means of gain
Πόρκιος	Porcius
πορνεία	sexual immorality
πορνεύω	to commit sexual immorality of any kind
πόρνη	prostitute
πόρνος	one who is sexually immoral (male or female)
πόρρω	far
πόρρωθεν	from a distance
πορρωτέρω	farther
πορφύρα	purple (cloth or robe)
πορφύρεος	purple
πορφυρόπωλις	dealer in purple cloth
πορφυροῦς	purple
ποσάκις	how many times?
πόσις	drinking
πόσος	how great?
ποταμός	river
ποταμοφόρητος	swept away by a torrential flow of a river
ποταπῶς	of what kind?
ποτε	when? how long?
πότερον	whether
ποτήριον	cup
ποτίζω	to give or offer a drink
Ποτίολοι	Puteoli
πότος	carousing
ποῦ	somewhere
Πούδης	Pudens
πούς	foot
πρᾶγμα	thing
πραγματεία	(pl.) affairs
πραγματεύομαι	to put capital to work
πραιτώριον	Praetorium
πράκτωρ	officer
πρᾶξις	deed
πρᾶος	gentle
πραότης	gentleness
πρασιά	group
πράσσω	to do
πραυ&πάθεια	gentleness
πραΰς	gentle
πραΰτης	gentleness
πρέπω	to be proper
πρεσβεία	delegation
πρεσβεύω	to be an ambassador
πρεσβυτέριον	body or council of the elders
πρεσβύτερος	older
πρεσβύτης	older man
πρεσβῦτις	older woman
πρηνής	headlong
πρίζω	(pass.) to be sawn in two
πρίν	before
Πρίσκα	Prisca
Πρίσκιλλα	Priscilla
πρό	(of place) before
προάγω	to go on ahead
προαιρέω	(mid.) to decide
προαιτιάομαι	to make a charge beforehand
προακούω	to hear about beforehand
προαμαρτάνω	to sin earlier
προαύλιον	entryway
προβαίνω	(spacial) to go on
προβάλλω	to push to the front
προβατικός	pertaining to sheep
προβάτιον	lamb
πρόβατον	sheep
προβιβάζω	(pass.) to be prompted
προβλέπω	(mid.) to plan
προγίνομαι	to commit beforehand
προγινώσκω	to know beforehand
πρόγνωσις	foreknowledge
πρόγονος	(pl.) parents
προγράφω	to write beforehand
πρόδηλος	obvious
προδίδωμι	to give beforehand
προδότης	traitor
πρόδρομος	going before
προεῖπον	to foretell
προελπίζω	to be the first to hope
προενάρχομαι	to begin beforehand
προεπαγγέλλω	(mid.) to promise beforehand
προέρχομαι	to go on ahead
προετοιμάζω	to prepare in advance
προευαγγελίζομαι	to announce the gospel in advance
προέχω	(mid.) to be better off
προηγέομαι	to put above
πρόθεσις	setting forth: plan
προθεσμία	set time
προθυμία	eagerness
προθύμως	willing
προΐστημι	(act/mid) to manage
προκαλέω	(mid.) to provoke
προκαταγγέλλω	to foretell
προκαταρτίζω	to arrange for in advance
πρόκειμαι	(pass.) to be set before
προκηρύσσω	to preach beforehand
προκοπή	progress
προκόπτω	to go ahead
πρόκριμα	partiality
προκυρόω	to establish previously
προλαμβάνω	to take beforehand
προλέγω	to tell beforehand
προμαρτύρομαι	to predict
προμελετάω	to worry beforehand
προμεριμνάω	to worry or be anxious beforehand
προνοέω	to provide for
πρόνοια	foresight
προοράω	to see previously
προορίζω	to predestine
προπάσχω	to suffer previously
προπάτωρ	forefather
προπέμπω	to accompany
προπετής	rash
προπορεύομαι	to go before
πρός	(gen.) to
προσάββατον	day before the Sabbath (Friday)
προσαγορεύω	to designate
προσάγω	to bring to
προσαγωγή	access
προσαιτέω	to beg
προσαίτης	beggar
προσαναβαίνω	to move up
προσαναλίσκω	to spend lavishly or in addition
προσαναλόω	to spend lavishly or in addition
προσαναπληρόω	to supply
προσανατίθημι	to add
προσανέχω	to rise up toward
προσαπειλέω	to threaten further
προσαχέω	to resound
προσδαπανάω	to spend extra
προσδέομαι	to need
προσδέχομαι	to receive
προσδίδωμι	to give (over)
προσδοκάω	to look forward to
προσδοκία	anticipation
προσεάω	to allow to go farther
προσεγγίζω	to approach
προσεδρεύω	to serve
προσεργάζομαι	to earn more
προσέρχομαι	to come to
προσευχή	prayer
προσεύχομαι	to pray
προσέχω	to watch out
προσηλόω	to nail to
προσήλυτος	Gentile convert (to Judaism)
πρόσκαιρος	lasting only for a short time
προσκαλέω	(mid.) to call
προσκαρτερέω	to join
προσκαρτέρησις	perseverance
προσκεφάλαιον	cushion
προσκληρόω	(pass.) to be joined with
πρόσκλησις	summons
προσκλίνω	(pass.) to be rallied to
πρόσκλισις	favoritism
προσκολλάω	(pass.) to be united to
πρόσκομμα	stumbling block
προσκοπή	stumbling block
προσκόπτω	to strike
προσκυλίω	to roll in front of
προσκυνέω	to worship
προσκυνητής	worshiper
προσλαλέω	to talk with
προσλαμβάνω	to take aside
πρόσλημψις	acceptance
πρόσληψις	acceptance
προσμένω	to be with
προσορμίζω	(pass.) to be anchored
προσοφείλω	to owe (in addition)
προσοχθίζω	to be angry
προσπαίω	to strike against
πρόσπεινος	hungry
προσπήγνυμι	to nail to (the cross)
προσπίπτω	to fall down before
προσποιέω	to act as if
προσπορεύομαι	to come to
προσρήγνυμι	to strike upon
προσρήσσω	to strike upon
προστάσσω	(act./mid.) to command
προστάτις	helper
προστίθημι	to add to
προστρέχω	to run up to
προσφάγιον	(little) fish
προσφάτως	new
προσφέρω	to bring to
προσφιλής	lovely
προσφορά	offering
προσφωνέω	to call out
προσχαίρω	to be glad
πρόσχυσις	sprinkling
προσψαύω	to touch
προσωπολημπτέω	to show favoritism
προσωπολήμπτης	one who shows favoritism
προσωπολημψία	favoritism
προσωποληπτέω	to show favoritism
προσωπολήπτης	one who shows favoritism
προσωποληψία	favoritism
πρόσωπον	face
προτάσσω	to determine beforehand
προτείνω	to stretch out
πρότερος	before
προτίθημι	(mid.) to plan
προτρέπω	to encourage
προτρέχω	to run ahead
πρου&πάρχω	to exist formerly
πρόφασις	excuse
προφέρω	to bring out
προφητεία	prophecy
προφητεύω	to prophesy
προφήτης	prophet
προφητικός	prophetic
προφῆτις	prophetess
προφθάνω	to anticipate
προχειρίζω	(mid.) to choose
προχειροτονέω	to choose beforehand
Πρόχορος	Procorus
πρύμνα	stern (of a vessel)
πρωΐ	early in the morning
πρώι&μος	early
πρωι&νός	early
πρωΐα	early morning
πρῷρα	bow (of a vessel)
πρωτεύω	to be supreme
πρωτοκαθεδρία	most important seat
πρωτοκλισία	place of honor
πρωτόμαρτυς	first martyr
πρῶτον	first
πρωτοστάτης	ringleader
πρωτοτόκια	inheritance rights (of the firstborn)
πρωτότοκος	firstborn (human or animal). In biblical culture
πρώτως	first (chronologically or in order of importance)
πταίω	to stumble
πτέρνα	heel
πτερύγιον	highest point
πτέρυξ	wing
πτηνός	what is winged or feathered
πτοέω	(pass.) to be startled
πτόησις	something alarming
Πτολεμαΐς	Ptolemais
πτύον	winnowing fork or shovel
πτύρω	(pass.) to be frightened
πτύσμα	saliva
πτύσσω	to roll up
πτύω	to spit (saliva)
πτῶμα	dead body
πτῶσις	falling
πτωχεία	poverty
πτωχεύω	to be or become poor
πτωχός	poor
πυγμή	fist
Πύθων	spirit of divination
πυκνός	(a.) often
πυκτεύω	to fight with the fist
πύλη	(city) gate
πυλών	gate
πυνθάνομαι	to ask
πῦρ	fire
πυρά	fire
πύργος	tower
πυρέσσω	to burn with a fever
πυρετός	fever
πύρινος	fiery red
πυρόω	to burn
πυρράζω	to be red
Πύρρος	fiery red
πύρωσις	burning
πωλέω	to sell
πῶλος	colt
πώποτε	ever
πωρόω	to harden
πώρωσις	hardening
πως	how? in what way?
Ῥαάβ	Rahab
ῥαββί	Rabbi
ῥαββονί	Rabboni
ῥαββουνί	Rabboni
ῥαβδίζω	to beat with a rod
ῥάβδος	rod
ῥαβδοῦχος	officer
Ῥαγαύ	Reu
ῥᾳδιούργημα	crime
ῥᾳδιουργία	trickery
ῥαίνω	(pass.) to be sprinkled
Ῥαιφάν	Rephan
ῥακά	Raca (a term of abuse
ῥάκος	piece of cloth
Ῥαμά	Ramah
ῥαντίζω	to sprinkle
ῥαντισμός	sprinkling
ῥαπίζω	to strike
ῥάπισμα	slap
ῥαφίς	needle
Ῥαχάβ	Rahab
Ῥαχήλ	Rachel
Ῥεβέκκα	Rebekah
ῥέδη	carriage
Ῥεμφάν	Remphan
ῥέω	to flow
Ῥήγιον	Rhegium
ῥῆγμα	destruction
ῥήγνυμι	to burst
ῥῆμα	word
Ῥησά	Rhesa
ῥήσσω	to throw violently
ῥήτωρ	lawyer
ῥητῶς	clearly
ῥίζα	root
ῥιζόω	(pass.) to be rooted
ῥιπή	twinkling
ῥιπίζω	(pass.) to be tossed about
ῥιπτέω	to throw off
ῥίπτω	to throw
Ῥοβοάμ	Rehoboam
Ῥόδη	Rhoda
Ῥόδος	Rhodes
ῥοιζηδόν	with a roar
Ῥομφά	Rompha
ῥομφαία	(long) sword
ῥοπή	downward movement
Ῥουβήν	Reuben
Ῥούθ	Ruth
Ῥοῦφος	Rufus
ῥύμη	street
ῥύομαι	to rescue
ῥυπαίνω	to be vile
ῥυπαρεύω	(pass.) to be fouled
ῥυπαρία	(moral) filth
ῥυπαρός	shabby
ῥύπος	dirt
ῥυπόω	to defile
ῥύσις	flow (of blood)
ῥυτίς	wrinkle
Ῥωμαι&κός	Roman
Ῥωμαι&στί	in Latin (language)
Ῥωμαῖος	Roman
Ῥώμη	Rome
ῥώννυμι	to be strong
σαβαχθάνι	sabachthani (Aramaic: <i>you have forsaken me</i>)
Σαβαώθ	Almighty [<i>of Hosts</i>]
σαββατισμός	Sabbath-rest
σάββατον	Sabbath
σαγήνη	(large) dragnet
Σαδδουκαῖος	Sadducee
Σαδώκ	Zadok
σαίνω	(pass.) to be unsettled
σάκκος	sackcloth
Σαλά	Sala
Σαλαθιήλ	Shealtiel
Σαλαμίς	Salamis
Σαλείμ	Salamis
σαλεύω	to shake up
Σαλήμ	Salem
Σαλίμ	Salim
Σαλμών	Salmon
Σαλμώνη	Salmone
σάλος	tossing motion
σάλπιγξ	trumpet
σαλπίζω	to sound a trumpet
σαλπιστής	trumpeter
Σαλώμη	Salome
Σαλωμών	Solomon
Σαμάρεια	Samaria
Σαμαρίτης	Samaritan
Σαμαρῖτις	Samaritan
Σαμοθρᾴκη	Samothrace
Σάμος	Samos
Σαμουήλ	Samuel
Σαμφουρειν	Sepphoris
Σαμψών	Samson
σανδάλιον	sandal
σανίς	plank
Σαούλ	Saul
σαπρός	bad
Σάπφιρα	Sapphira
σάπφιρος	sapphire stone
σαργάνη	(large flexible) basket
Σάρδεις	Sardis
σάρδινος	carnelian
σάρδιον	carnelian (a reddish precious stone)
σαρδόνυξ	sardonyx (a variety of agate)
Σάρεπτα	Zarephath
σαρκικός	material
σάρκινος	fleshly
σάρξ	flesh
Σαρούχ	Serug
σαρόω	to sweep
Σάρρα	Sarah
Σαρών	Sharon
Σατάν	Satan
Σατανᾶς	Satan
σάτον	seah (dry measure of about 12 quarts)
Σαῦλος	Saul
σβέννυμι	to extinguish
σεαυτοῦ	yourself
σεβάζομαι	to worship
σέβασμα	object of worship
σεβαστός	(a.) revered
σέβω	(mid.) to worship
σειρά	chain
σειρός	pit
σεισμός	earthquake
σείω	to cause to shake
Σεκοῦνδος	Secundus
Σελεύκεια	Seleucia
σελήνη	moon
σεληνιάζομαι	(pass.) to have a seizure
Σεμεΐν	Semein
σεμίδαλις	finely ground flour
σεμνός	worthy of respect
σεμνότης	holiness
Σέργιος	Sergius
Σερούχ	Serug
Σήθ	Seth
Σήμ	Shem
σημαίνω	to make known
σημεῖον	(miraculous) sign
σημειόω	(mid.) to take special note of
σήμερον	today
σήπω	to rot
σηρικός	silken
σής	moth
σητόβρωτος	moth-eaten
σθενόω	to strengthen
σιαγών	cheek
σιαίνομαι	to be disturbed
σιγάω	to be or become silent
σιγή	silence
σιδήρεος	made of iron
σίδηρος	iron
σιδηροῦς	made of iron
Σιδών	Sidon
Σιδώνιος	Sidonian
σικάριος	terrorist
σίκερα	fermented drink
Σίλας	Silas
Σιλουανός	Silas
Σιλωάμ	Siloam
Σιμαίας	Simaias
σιμικίνθιον	apron
Σίμων	Simon
Σινά	Sinai
σίναπι	mustard plant
σινδών	linen (cloth or garment)
σινιάζω	to sift
σιρικός	made of silk
σιρός	dungeon
σιτευτός	fattened
σιτίον	(food made from) grain
σιτιστός	fattened
σιτομέτριον	measured allowance of food
σῖτος	wheat
Σιχέμ 	Sychar
Σιών	Zion
σιωπάω	to be quiet
σιωπῇ	quietly
σκανδαλίζω	to cause to sin
σκάνδαλον	stumbling block
σκάπτω	to dig
Σκαριώθ	Scarioth
σκάφη	lifeboat
σκέλος	leg
σκέπασμα	clothing
Σκευᾶς	Sceva
σκευή	(ship's) tackle
σκεῦος	possession
σκηνή	tabernacle
σκηνοπηγία	(Feast of) Tabernacles
σκηνοποιός	tentmaker
σκῆνος	tent
σκηνόω	to live
σκήνωμα	tent
σκιά	shadow
σκιρτάω	to leap
σκληροκαρδία	hardness of heart
σκληρός	hard
σκληρότης	hardness
σκληροτράχηλος	stiff-necked
σκληρύνω	to harden (the heart)
σκολιός	crooked
σκόλοψ	thorn
σκοπέω	to watch out for
σκοπός	goal
σκορπίζομαι	to scatter
σκορπίος	scorpion
σκοτεινός	dark
σκοτία	darkness
σκοτίζομαι	(pass.) to be or become dark
σκότος	darkness
σκοτόω	(pass.) to be or become darkened
σκύβαλον	rubbish
Σκύθης	Scythian
σκυθρωπός	to look somber
σκύλλω	to bother
σκῦλον	(pl.) spoils
σκωληκόβρωτος	eaten by worms
σκώληξ	worm
σμαράγδινος	(of) emerald
σμάραγδος	emerald
Σμύρνα	myrrh
Σμυρναῖος	Smyrnaean
σμυρνίζω	to mix with myrrh
Σόδομα	Sodom
Σολομῶν	Solomon
σορός	coffin
σός	(s.) your
σουδάριον	piece of cloth
Σουσάννα	Susanna
σοφία	wisdom (either secular or divine). Christ is called <i>the wisdom of God</i> in <a href="B:530 1:24">1Co 1:24</a>
σοφίζω	to make wise
σοφός	wise
Σπανία	Spain
σπαράσσω	to convulse
σπαργανόω	to wrap (in cloth)
σπαταλάω	to live in pleasure
σπάω	(mid.) to draw (a sword)
σπεῖρα	company of soldiers
σπείρω	to sow seed
σπεκουλάτωρ	executioner
σπένδω	(pass.) to be poured out like a drink offering
σπέρμα	seed
σπερμολόγος	babbler
σπεύδω	to hurry
σπήλαιον	den
σπιλάς	blemish
σπίλος	stain
σπιλόω	to corrupt
σπλαγχνίζομαι	to have compassion on
σπλάγχνον	inward parts of body: intestines
σπόγγος	sponge
σποδός	ashes
σπορά	seed
σπόριμος	what is sown
σπόρος	seed
σπουδάζω	to be eager
σπουδαίως	zealous
σπουδή	hurry
σπυρίς	basket
στάδιον	arena
στάμνος	jar
στασιαστής	insurrectionist
στάσις	continuance
στατήρ	four-drachma coin
σταυρός	cross
σταυρόω	to crucify
σταφυλή	(bunch of) grapes
Στάχυς	head of grain
στέγη	roof
στέγω	to put up with
στεῖρα	(state of) barrenness
στέλλω	(mid.) to avoid
στέμμα	wreath
στεναγμός	groan
στενάζω	to groan
στενός	narrow
στενοχωρέω	(pass.) to be crushed
στενοχωρία	distress
στερεός	solid
στερεόω	to make strong
στερέωμα	firmness
Στεφανᾶς	Stephanas
στέφανος	Stephen
στεφανόω	to crown
στῆθος	chest
στήκω	to stand
στηριγμός	security
στηρίζω	to strengthen
στιβάς	leafy branch
στίγμα	mark
στιγμή	instant
στίλβω	to dazzle
στοά	covered colonnade
στοιβάς	leafy branch
στοιχεῖον	principle
στοιχέω	to follow
στολή	(flowing) robe
στόμα	mouth
στόμαχος	stomach
στρατεία	warfare
στράτευμα	army
στρατεύομαι	(mid.) to serve as a soldier
στρατηγός	magistrate
στρατιά	host
στρατιώτης	soldier
στρατολογέω	to gather an army
στρατοπεδάρχης	military commander
στρατοπέδαρχος	military commander
στρατόπεδον	army
στρεβλόω	to distort
στρέφω	to turn
στρηνιάω	to live in luxury
στρῆνος	luxury
στρουθίον	sparrow
στρώννυμι	to spread out
στρωννύω	to spread out
στυγητός	hated
στυγνάζω	to be gloomy
στῦλος	pillar
Στωι&κός	Stoic
σύ	you
συγγένεια	family
συγγενής	family
συγγενίς	(female) relative
συγγνώμη	concession
συγκάθημαι	to sit with
συγκαθίζω	to sit down together
συγκακοπαθέω	to suffer together with
συγκακουχέομαι	(pass.) to be mistreated with
συγκαλέω	(act.) to call together
συγκαλύπτω	to conceal
συγκάμπτω	(pass.) to be bent over
συγκαταβαίνω	to come
συγκατάθεσις	agreement
συγκατανεύω	to agree
συγκατατίθημι	(mid.) to consent
συγκαταψηφίζομαι	(pass.) to be added
σύγκειμαι	to recline together
συγκεράννυμι	to combine
συγκινέω	to stir up
συγκλείω	to catch (fish hemmed up in a net)
συγκληρονόμος	inheriting together
συγκοινωνέω	to share with
συγκοινωνός	sharer
συγκομίζω	to bury
συγκρίνω	to express
συγκύπτω	to bend over
συγκυρία	event that just happens
συγχαίρω	to rejoice with
συγχέω	to baffle
συγχράομαι	to associate with
συγχύν(ν)ω	to baffle
σύγχυσις	uproar
συγχωρέω	to permit
συζάω	to live with
συζεύγνυμι	to join together
συζητέω	to discuss
συζήτησις	dispute
συζητητής	philosopher
σύζυγος	yokefellow
συζωοποιέω	to make alive with (someone)
συκάμινος	mulberry tree
συκῆ	fig tree
συκομορέα	sycamore-fig tree
σῦκον	fig
συκοφαντέω	to accuse falsely
συλαγωγέω	to take captive
συλάω	to rob
συλλαλέω	to talk with
συλλαμβάνω	to seize
συλλέγω	to pick
συλλογίζομαι	to discuss together
συλλυπέω	(pass.) to be deeply distressed
συμβαίνω	to happen
συμβάλλω	to dispute with
συμβασιλεύω	to reign with
συμβιβάζω	(pass.) to be held together
συμβουλεύω	to advise
συμβούλιον	plan
σύμβουλος	counselor
Συμεών	Simeon
συμμαθητής	fellow disciple
συμμαρτυρέω	to testify with
συμμερίζω	to share with
συμμέτοχος	sharing with
συμμιμητής	fellow imitator
συμμορφίζω	(pass.) to become like
σύμμορφος	conformed
συμμορφόω	to give the same form
συμπαθέω	to sympathize with
συμπαθής	sympathetic
συμπαραγίνομαι	(mid.) to come together
συμπαρακαλέω	(pass.) to be mutually encouraged
συμπαραλαμβάνω	to take along with
συμπαραμένω	to stay with (someone) to help
συμπάρειμι	to be present with
συμπάσχω	to suffer with
συμπέμπω	to send with
συμπεριέχω	to surround
συμπεριλαμβάνω	to put one's arms around
συμπίνω	to drink with
συμπίπτω	to collapse
συμπληρόω	(pass.) to be swamped
συμπνίγω	to choke
συμπολίτης	fellow citizen
συμπορεύομαι	to go with
συμποσία	common meal
συμπόσιον	group
συμπρεσβύτερος	fellow elder
συμφέρω	to bring together
σύμφημι	to agree with
σύμφορος	beneficial
συμφορτίζω	to burden together with others
συμφυλέτης	(pl.) one's own countrymen
σύμφυτος	united
συμφύω	to grow up with
συμφωνέω	to agree with
συμφώνησις	harmony
συμφωνία	music
σύμφωνος	mutually consenting
συμψηφίζω	to calculate
σύμψυχος	united in spirit
σύν	with
συνάγω	to gather together
συναγωγή	synagogue
συναγωνίζομαι	to join in a struggle
συναθλέω	to contend at one's side
συναθροίζω	to bring together
συναίρω	to settle (monetary accounts)
συναιχμάλωτος	fellow prisoner
συνακολουθέω	to follow
συναλίζω	to eat with
συναλίσκομαι	to be made captive together with
συναλλάσσω	to reconcile
συναναβαίνω	to come with
συνανάκειμαι	to eat with
συναναμείγνυμι	to associate with
συναναπαύομαι	to find rest together
συναναστρέφομαι	to associate with
συναντάω	to meet
συνάντησις	meeting
συναντιλαμβάνομαι	to help
συναπάγω	(pass.) to be led away
συναποθνῄσκω	to die with
συναπόλλυμι	(mid.) to die with
συναποστέλλω	to send with
συναρμολογέω	(pass.) to be joined together
συναρπάζω	to seize
συναυξάνω	to grow together
σύνδεσμος	bond
συνδέω	(pass.) to be imprisoned with
συνδοξάζω	(pass.) to be glorified with
σύνδουλος	fellow servant
συνδρομή	running together
συνεγείρω	to raise up with
συνέδριον	Sanhedrin
συνέδριος	member of the council
συνείδησις	conscience
σύνειμι	to be with
συνεισέρχομαι	to enter together with
συνέκδημος	traveling companion
συνεκλεκτός	chosen together with
συνεκπορεύομαι	to go out with
συνελαύνω	to drive
συνεπιμαρτυρέω	to testify at the same time
συνεπίσκοπος	fellow overseer
συνεπιτίθημι	(mid.) to join in an accusation
συνέπομαι	to accompany
συνεργέω	to work together
συνεργός	fellow worker
συνέρχομαι	to come together
συνεσθίω	to eat with
σύνεσις	understanding
συνετός	intelligent
συνευδοκέω	to approve of
συνευωχέομαι	to partake in a feast together
συνεφίστημι	to join in an attack
συνέχω	to cover (ears)
συνήδομαι	to delight in agreement
συνήθεια	custom
συνηλικιώτης	person of one's own age
συνθάπτω	(pass.) to be buried with
συνθλάω	(pass.) to be broken to pieces
συνθλίβω	to press around
συνθρύπτω	to break
συνίημι	to understand
συνιστάω	see <a href="S:συνίστημι"/>συνίστημι</a>
συνίστημι	to commend
συνοδεύω	to travel with
συνοδία	company of travelers
σύνοιδα	to share knowledge with
συνοικέω	to live with
συνοικοδομέω	(pass.) to be built up together
συνομιλέω	to talk with
συνομορέω	to be next door to
συνοράω	to realize
συνορία	neighboring country
συνοχή	anguish
συνταράσσω	to throw into confusion
συντάσσω	to command
συντέλεια	end
συντελέω	to finish
συντέμνω	to cut short
συντεχνίτης	one who follows the same trade
συντηρέω	to protect
συντίθημι	(mid.) to agree
συντόμως	briefly
συντρέχω	to run together
συντρίβω	to break
σύντριμμα	ruin
σύντροφος	brought up with (in a family)
συντυγχάνω	to come together with
Συντύχη	Syntyche
συντυχία	occurrence
συνυποκρίνομαι	to join in one's hypocrisy
συνυπουργέω	to join to help
συνωδίνω	to join in the pains of childbirth
συνωμοσία	plot
Σύρα	Syrian woman
Συράκουσαι	Syracuse
Συρία	Syria
Σύρος	Syrian
Συροφοινίκισσα	woman of Syrian Phoenicia
συρρήγνυμι	to dash together
Σύρτις	Syrtis
σύρω	to drag
συσπαράσσω	to cause to convulse
σύσσημον	signal
σύσσωμος	co-member of a body
συστασιαστής	fellow insurrectionist
συστατικός	commendatory
συσταυρόω	(pass.) to be crucified with
συστέλλω	to wrap up
συστενάζω	to join in groaning
συστοιχέω	to correspond
συστρατιώτης	fellow soldier
συστρέφω	to gather up
συστροφή	commotion
συσχηματίζω	(mid.) to conform to a pattern or mold
Συχάρ	Sychar
Συχέμ	Shechem
σφαγή	slaughter
σφάγιον	offering for slaughter
σφάζω	to kill
σφόδρα	very
σφοδρῶς	violently
σφραγίζω	to seal
σφραγίς	seal
σφυδρόν	ankle
σφυρόν	ankle or heel
σχεδόν	nearly
σχῆμα	form
σχίζω	to tear
σχίσμα	tear
σχοινίον	(pl.) cords
σχολάζω	to devote oneself to
σχολή	lecture hall
σῴζω	to save
σῶμα	body
σωματικῶς	bodily
Σώπατρος	Sopater
σωρεύω	to heap up
Σωσθένης	Sosthenes
Σωσίπατρος	Sosipater
σωτήρ	Savior
σωτηρία	salvation
σωτήριος	bringing salvation
σωφρονέω	to be in a right state of mind
σωφρονίζω	to train
σωφρονισμός	self-discipline
σωφρόνως	in self-control
σωφροσύνη	propriety
σώφρων	self-controlled
ταβέρναι	tavern
Ταβιθά	Tabitha
τάγμα	turn
τακτός	appointed
ταλαιπωρέω	to grieve
ταλαιπωρία	misery
ταλαίπωρος	wretched
ταλαντιαῖος	weighing a talent (about 57 to 80 lbs.)
τάλαντον	talent (weight and monetary unit
